"Population by Age"
This table was produced 11/2/2017 4:17:13 PM
"Geography","statefips","countyfips","year","Total Population"
"Adams County, IN","18","001","2016",35232
"Allen County, IN","18","003","2016",370404
"Bartholomew County, IN","18","005","2016",81402
"Benton County, IN","18","007","2016",8650
"Blackford County, IN","18","009","2016",12149
"Boone County, IN","18","011","2016",64653
"Brown County, IN","18","013","2016",14912
"Carroll County, IN","18","015","2016",19970
"Cass County, IN","18","017","2016",37946
"Clark County, IN","18","019","2016",116031
"Clay County, IN","18","021","2016",26309
"Clinton County, IN","18","023","2016",32457
"Crawford County, IN","18","025","2016",10539
"Daviess County, IN","18","027","2016",32969
"Dearborn County, IN","18","029","2016",49331
"Decatur County, IN","18","031","2016",26598
"De Kalb County, IN","18","033","2016",42746
"Delaware County, IN","18","035","2016",115603
"Dubois County, IN","18","037","2016",42552
"Elkhart County, IN","18","039","2016",203781
"Fayette County, IN","18","041","2016",23331
"Floyd County, IN","18","043","2016",76990
"Fountain County, IN","18","045","2016",16486
"Franklin County, IN","18","047","2016",22715
"Fulton County, IN","18","049","2016",20139
"Gibson County, IN","18","051","2016",33703
"Grant County, IN","18","053","2016",66937
"Greene County, IN","18","055","2016",32211
"Hamilton County, IN","18","057","2016",316373
"Hancock County, IN","18","059","2016",73717
"Harrison County, IN","18","061","2016",39826
"Hendricks County, IN","18","063","2016",160610
"Henry County, IN","18","065","2016",48521
"Howard County, IN","18","067","2016",82568
"Huntington County, IN","18","069","2016",36400
"Jackson County, IN","18","071","2016",44013
"Jasper County, IN","18","073","2016",33433
"Jay County, IN","18","075","2016",21046
"Jefferson County, IN","18","077","2016",32418
"Jennings County, IN","18","079","2016",27758
"Johnson County, IN","18","081","2016",151982
"Knox County, IN","18","083","2016",37744
"Kosciusko County, IN","18","085","2016",79092
"Lagrange County, IN","18","087","2016",39110
"Lake County, IN","18","089","2016",485846
"La Porte County, IN","18","091","2016",110015
"Lawrence County, IN","18","093","2016",45518
"Madison County, IN","18","095","2016",129296
"Marion County, IN","18","097","2016",941229
"Marshall County, IN","18","099","2016",46556
"Martin County, IN","18","101","2016",10171
"Miami County, IN","18","103","2016",35883
"Monroe County, IN","18","105","2016",145496
"Montgomery County, IN","18","107","2016",38074
"Morgan County, IN","18","109","2016",69698
"Newton County, IN","18","111","2016",13924
"Noble County, IN","18","113","2016",47638
"Ohio County, IN","18","115","2016",5932
"Orange County, IN","18","117","2016",19335
"Owen County, IN","18","119","2016",20840
"Parke County, IN","18","121","2016",16800
"Perry County, IN","18","123","2016",18966
"Pike County, IN","18","125","2016",12431
"Porter County, IN","18","127","2016",167791
"Posey County, IN","18","129","2016",25476
"Pulaski County, IN","18","131","2016",12660
"Putnam County, IN","18","133","2016",37436
"Randolph County, IN","18","135","2016",25082
"Ripley County, IN","18","137","2016",28846
"Rush County, IN","18","139","2016",16649
"St. Joseph County, IN","18","141","2016",269141
"Scott County, IN","18","143","2016",23730
"Shelby County, IN","18","145","2016",44324
"Spencer County, IN","18","147","2016",20648
"Starke County, IN","18","149","2016",23009
"Steuben County, IN","18","151","2016",34116
"Sullivan County, IN","18","153","2016",20802
"Switzerland County, IN","18","155","2016",10527
"Tippecanoe County, IN","18","157","2016",188059
"Tipton County, IN","18","159","2016",15182
"Union County, IN","18","161","2016",7212
"Vanderburgh County, IN","18","163","2016",181721
"Vermillion County, IN","18","165","2016",15645
"Vigo County, IN","18","167","2016",107931
"Wabash County, IN","18","169","2016",31762
"Warren County, IN","18","171","2016",8166
"Warrick County, IN","18","173","2016",62498
"Washington County, IN","18","175","2016",27670
"Wayne County, IN","18","177","2016",66568
"Wells County, IN","18","179","2016",27949
"White County, IN","18","181","2016",23999
"Whitley County, IN","18","183","2016",33449
